abbreviation	name	compartment
s_0760	s_0760	NA
s_0822	s_0822	NA
s_1417	s_1417	NA
s_1427	s_1427	NA
s_0306	s_0306	NA
s_1443	s_1443	NA
s_0328	s_0328	NA
s_0742	s_0742	NA
s_1344	s_1344	NA
s_0323	s_0323	NA
s_0324	s_0324	NA
s_0326	s_0326	NA
s_0015	s_0015	NA
s_0327	s_0327	NA
s_0016	s_0016	NA
s_0403	s_0403	NA
s_0122	s_0122	NA
s_0329	s_0329	NA
s_0917	s_0917	NA
s_1362	s_1362	NA
s_1300	s_1300	NA
s_0312	s_0312	NA
s_0539	s_0539	NA
s_0454	s_0454	NA
s_0342	s_0342	NA
s_0347	s_0347	NA
s_0340	s_0340	NA
s_1249	s_1249	NA
s_0359	s_0359	NA
s_0366	s_0366	NA
s_0150	s_0150	NA
s_0018	s_0018	NA
s_0378	s_0378	NA
s_0379	s_0379	NA
s_0519	s_0519	NA
s_0385	s_0385	NA
s_1190	s_1190	NA
s_1358	s_1358	NA
s_1047	s_1047	NA
s_0374	s_0374	NA
s_0377	s_0377	NA
s_0980	s_0980	NA
s_1143	s_1143	NA
s_0585	s_0585	NA
s_0460	s_0460	NA
s_1008	s_1008	NA
s_0458	s_0458	NA
s_1005	s_1005	NA
s_0372	s_0372	NA
s_0605	s_0605	NA
s_0608	s_0608	NA
s_0373	s_0373	NA
s_0450	s_0450	NA
s_0518	s_0518	NA
s_0384	s_0384	NA
s_0436	s_0436	NA
s_0609	s_0609	NA
s_1071	s_1071	NA
s_1070	s_1070	NA
s_0012	s_0012	NA
s_0149	s_0149	NA
s_0187	s_0187	NA
s_1051	s_1051	NA
s_0399	s_0399	NA
s_1193	s_1193	NA
s_1164	s_1164	NA
s_0804	s_0804	NA
s_0781	s_0781	NA
s_1337	s_1337	NA
s_0628	s_0628	NA
s_1148	s_1148	NA
s_0630	s_0630	NA
s_0637	s_0637	NA
s_0645	s_0645	NA
s_0671	s_0671	NA
s_0677	s_0677	NA
s_0964	s_0964	NA
s_0966	s_0966	NA
s_1449	s_1449	NA
s_1459	s_1459	NA
s_1184	s_1184	NA
s_0631	s_0631	NA
s_0646	s_0646	NA
s_0678	s_0678	NA
s_0967	s_0967	NA
s_1460	s_1460	NA
s_2636	s_2636	NA
s_2635	s_2635	NA
s_0336	s_0336	NA
s_1188	s_1188	NA
s_0337	s_0337	NA
s_0808	s_0808	NA
s_0331	s_0331	NA
s_0555	s_0555	NA
s_1297	s_1297	NA
s_0348	s_0348	NA
s_1289	s_1289	NA
s_0755	s_0755	NA
s_0706	s_0706	NA
s_0756	s_0756	NA
s_0708	s_0708	NA
s_0857	s_0857	NA
s_0811	s_0811	NA
s_0858	s_0858	NA
s_0812	s_0812	NA
s_0009	s_0009	NA
s_0317	s_0317	NA
s_0692	s_0692	NA
s_0881	s_0881	NA
s_1053	s_1053	NA
s_0304	s_0304	NA
s_0206	s_0206	NA
s_0133	s_0133	NA
s_0396	s_0396	NA
s_0749	s_0749	NA
s_0740	s_0740	NA
s_0409	s_0409	NA
s_0171	s_0171	NA
s_0177	s_0177	NA
s_0650	s_0650	NA
s_0655	s_0655	NA
s_0836	s_0836	NA
s_0834	s_0834	NA
s_0839	s_0839	NA
s_0842	s_0842	NA
s_0190	s_0190	NA
s_1201	s_1201	NA
s_0550	s_0550	NA
s_0732	s_0732	NA
s_0368	s_0368	NA
s_0652	s_0652	NA
s_0176	s_0176	NA
s_0173	s_0173	NA
s_1203	s_1203	NA
s_1205	s_1205	NA
s_0192	s_0192	NA
s_0214	s_0214	NA
s_0453	s_0453	NA
s_0819	s_0819	NA
s_0821	s_0821	NA
s_0817	s_0817	NA
s_0820	s_0820	NA
s_0242	s_0242	NA
s_0838	s_0838	NA
s_0846	s_0846	NA
s_0841	s_0841	NA
s_1206	s_1206	NA
s_1404	s_1404	NA
s_1406	s_1406	NA
s_0353	s_0353	NA
s_0350	s_0350	NA
s_0412	s_0412	NA
s_1423	s_1423	NA
s_1426	s_1426	NA
s_0414	s_0414	NA
s_1425	s_1425	NA
s_0457	s_0457	NA
s_0711	s_0711	NA
s_0424	s_0424	NA
s_0707	s_0707	NA
s_0416	s_0416	NA
s_0545	s_0545	NA
s_0418	s_0418	NA
s_0548	s_0548	NA
s_0410	s_0410	NA
s_0419	s_0419	NA
s_0546	s_0546	NA
s_0728	s_0728	NA
s_0726	s_0726	NA
s_0615	s_0615	NA
s_0725	s_0725	NA
s_0727	s_0727	NA
s_1009	s_1009	NA
s_0286	s_0286	NA
s_0287	s_0287	NA
s_0429	s_0429	NA
s_0801	s_0801	NA
s_1019	s_1019	NA
s_0281	s_0281	NA
s_0705	s_0705	NA
s_0439	s_0439	NA
s_1066	s_1066	NA
s_1167	s_1167	NA
s_0871	s_0871	NA
s_0869	s_0869	NA
s_0873	s_0873	NA
s_1151	s_1151	NA
s_0017	s_0017	NA
s_0887	s_0887	NA
s_0440	s_0440	NA
s_0875	s_0875	NA
s_0441	s_0441	NA
s_0877	s_0877	NA
s_0442	s_0442	NA
s_0879	s_0879	NA
s_0443	s_0443	NA
s_0469	s_0469	NA
s_1073	s_1073	NA
s_0301	s_0301	NA
s_0658	s_0658	NA
s_0660	s_0660	NA
s_0815	s_0815	NA
s_1156	s_1156	NA
s_0883	s_0883	NA
s_0189	s_0189	NA
s_0884	s_0884	NA
s_0903	s_0903	NA
s_1159	s_1159	NA
s_0886	s_0886	NA
s_0444	s_0444	NA
s_0445	s_0445	NA
s_1169	s_1169	NA
s_1168	s_1168	NA
s_0334	s_0334	NA
s_0402	s_0402	NA
s_1210	s_1210	NA
s_0448	s_0448	NA
s_1214	s_1214	NA
s_0710	s_0710	NA
s_1055	s_1055	NA
s_0456	s_0456	NA
s_0475	s_0475	NA
s_0461	s_0461	NA
s_0476	s_0476	NA
s_0462	s_0462	NA
s_0590	s_0590	NA
s_1252	s_1252	NA
s_0465	s_0465	NA
s_0467	s_0467	NA
s_0268	s_0268	NA
s_0124	s_0124	NA
s_0634	s_0634	NA
s_0632	s_0632	NA
s_1457	s_1457	NA
s_1458	s_1458	NA
s_0303	s_0303	NA
s_0215	s_0215	NA
s_0302	s_0302	NA
s_1448	s_1448	NA
s_1455	s_1455	NA
s_1456	s_1456	NA
s_0627	s_0627	NA
s_0670	s_0670	NA
s_0633	s_0633	NA
s_2531	s_2531	NA
s_2532	s_2532	NA
s_2533	s_2533	NA
s_2534	s_2534	NA
s_2535	s_2535	NA
s_2536	s_2536	NA
s_0292	s_0292	NA
s_1115	s_1115	NA
s_1114	s_1114	NA
s_0487	s_0487	NA
s_1240	s_1240	NA
s_0480	s_0480	NA
s_0513	s_0513	NA
s_0024	s_0024	NA
s_1119	s_1119	NA
s_0027	s_0027	NA
s_1121	s_1121	NA
s_0026	s_0026	NA
s_1120	s_1120	NA
s_0522	s_0522	NA
s_0486	s_0486	NA
s_0606	s_0606	NA
