abbreviation	equation	reversible	compartment	lowbnd	uppbnd	obj_coef	rule	subsystem
r_0020	(1) s_0154 + (1) s_1098 -> (1) s_0033 + (1) s_1094	irreversible	NA	  0.00	1000.00	  0.00	(YLR355C)	
r_0021	(1) s_0534 + (1) s_1244 -> (1) s_0357 + (1) s_1211	irreversible	NA	  0.00	1000.00	  0.00	(YDR035W)	
r_0022	(1) s_0160 + (1) s_1296 -> (1) s_0161 + (1) s_1292	irreversible	NA	  0.00	1000.00	  0.00	((YDR204W) and (YGL119W) and (YGR255C) and (YLR201C) and (YML110C) and (YOL096C) and (YOR125C))	
r_0023	(1) s_0162 + (1) s_1163 -> (1) s_0160	irreversible	NA	  0.00	1000.00	  0.00	((YDR204W) and (YGL119W) and (YGR255C) and (YLR201C) and (YML110C) and (YOL096C) and (YOR125C))	
r_0024	(1) s_1082 + (1) s_0164 <-> (1) s_1087 + (1) s_0183	reversible	NA	-1000.00	1000.00	  0.00		
r_0025	(1) s_0170 <-> (1) s_0167	reversible	NA	-1000.00	1000.00	  0.00	(YGL009C)	
r_0026	(1) s_0238 + (1) s_0380 -> (1) s_0167 + (1) s_0514	irreversible	NA	  0.00	1000.00	  0.00	((YNL104C) or (YOR108W))	
r_0027	(1) s_0239 + (1) s_0383 -> (1) s_0169 + (1) s_0517	irreversible	NA	  0.00	1000.00	  0.00	(YNL104C)	
r_0028	(1) s_0300 + (1) s_0899 -> (1) s_0185 + (1) s_0933	irreversible	NA	  0.00	1000.00	  0.00		
r_0029	(1) s_0798 <-> (1) s_0468	reversible	NA	-1000.00	1000.00	  0.00	(YDR234W)	
r_0030	(1) s_1158 + (1) s_1263 -> (1) s_0517 + (1) s_0179	irreversible	NA	  0.00	1000.00	  0.00	(YPR001W)	
r_0031	(1) s_0010 -> (1) s_0297 + (1) s_0470	irreversible	NA	  0.00	1000.00	  0.00	(YJR148W)	
r_0032	(1) s_0011 -> (1) s_0474 + (1) s_0298	irreversible	NA	  0.00	1000.00	  0.00	(YHR208W)	
r_0033	(1) s_1084 + (1) s_0184 + (1) s_0517 -> (1) s_1089 + (1) s_0474 + (1) s_1263	irreversible	NA	  0.00	1000.00	  0.00		
r_0034	(1) s_0397 -> (1) s_1207 + (1) s_0434	irreversible	NA	  0.00	1000.00	  0.00	(YOL064C)	
r_0035	(1) s_0197 -> (1) s_0434	irreversible	NA	  0.00	1000.00	  0.00	((YGL248W) or (YOR360C))	
r_0036	(1) s_0199 -> (1) s_0564	irreversible	NA	  0.00	1000.00	  0.00	(YOR360C)	
r_0037	(1) s_0201 -> (1) s_0816	irreversible	NA	  0.00	1000.00	  0.00	(YOR360C)	
r_0038	(1) s_0200 -> (1) s_0752	irreversible	NA	  0.00	1000.00	  0.00	(YOR360C)	
r_0039	(1) s_0198 -> (1) s_0511	irreversible	NA	  0.00	1000.00	  0.00	(YOR360C)	
r_0040	(1) s_0557 -> (1) s_0689 + (1) s_0163	irreversible	NA	  0.00	1000.00	  0.00	(YDR487C)	
r_0041	(1) s_1089 + (1) s_0210 -> (1) s_1084 + (1) s_0208	irreversible	NA	  0.00	1000.00	  0.00		
r_0042	(1) s_0216 -> (1) s_0217	irreversible	NA	  0.00	1000.00	  0.00	(YDR127W)	
r_0043	(1) s_0356 -> (1) s_1207 + (1) s_0216	irreversible	NA	  0.00	1000.00	  0.00	(YDR127W)	
r_0044	(1) s_0218 + (1) s_1097 <-> (1) s_1092 + (1) s_1325	reversible	NA	-1000.00	1000.00	  0.00	(YBR265W)	
r_0045	(1) s_0533 + (1) s_1243 -> (1) s_1207 + (1) s_0356	irreversible	NA	  0.00	1000.00	  0.00	((YBR249C) or (YDR035W))	
r_0046	(1) s_0222 + (0.5) s_1160 -> (1) s_0219	irreversible	NA	  0.00	1000.00	  0.00		
r_0047	(1) s_0221 -> (1) s_0474 + (1) s_0162	irreversible	NA	  0.00	1000.00	  0.00		
r_0048	(1) s_0229 -> (1) s_0231 + (1) s_0863	irreversible	NA	  0.00	1000.00	  0.00	(YLR231C)	
r_0049	(1) s_0045 <-> (1) s_1385	reversible	NA	-1000.00	1000.00	  0.00	(YKR009C)	
r_0050	(1) s_0051 <-> (1) s_1388	reversible	NA	-1000.00	1000.00	  0.00	(YKR009C)	
r_0051	(1) s_1391 <-> (1) s_0048	reversible	NA	-1000.00	1000.00	  0.00	(YKR009C)	
r_0052	(1) s_0054 <-> (1) s_0785	reversible	NA	-1000.00	1000.00	  0.00	(YKR009C)	
r_0053	(1) s_0236 <-> (1) s_1394	reversible	NA	-1000.00	1000.00	  0.00	(YKR009C)	
r_0054	(1) s_0057 <-> (1) s_1397	reversible	NA	-1000.00	1000.00	  0.00	(YKR009C)	
r_0055	(1) s_0245 + (1) s_1090 <-> (1) s_0045 + (1) s_1086	reversible	NA	-1000.00	1000.00	  0.00	(YKR009C)	
r_0056	(1) s_1090 + (1) s_0253 <-> (1) s_0051 + (1) s_1086	reversible	NA	-1000.00	1000.00	  0.00	(YKR009C)	
r_0057	(1) s_0048 + (1) s_1086 <-> (1) s_1090 + (1) s_0249	reversible	NA	-1000.00	1000.00	  0.00	(YKR009C)	
r_0058	(1) s_1090 + (1) s_0259 <-> (1) s_0054 + (1) s_1086	reversible	NA	-1000.00	1000.00	  0.00	(YKR009C)	
r_0059	(1) s_1090 + (1) s_0256 <-> (1) s_0236 + (1) s_1086	reversible	NA	-1000.00	1000.00	  0.00	(YKR009C)	
r_0060	(1) s_1090 + (1) s_0263 <-> (1) s_0057 + (1) s_1086	reversible	NA	-1000.00	1000.00	  0.00	(YKR009C)	
r_0061	(1) s_1160 + (1) s_0231 -> (1) s_0151	irreversible	NA	  0.00	1000.00	  0.00	(YJR025C)	
r_0062	(1) s_0008 + (1) s_1293 -> (1) s_0224 + (1) s_1290	irreversible	NA	  0.00	1000.00	  0.00	(YER175C)	
r_0063	(1) s_0008 <-> (1) s_0170	reversible	NA	-1000.00	1000.00	  0.00	(YGL009C)	
r_0064	(1) s_1082 + (1) s_0008 -> (1) s_1087 + (1) s_0010	irreversible	NA	  0.00	1000.00	  0.00	(YCL018W)	
r_0065	(1) s_0238 -> (1) s_0470 + (1) s_0844	irreversible	NA	  0.00	1000.00	  0.00	((YGR087C) or (YLR044C) or (YLR134W))	
r_0066	(1) s_0238 + (1) s_0307 -> (1) s_0153 + (1) s_0309	irreversible	NA	  0.00	1000.00	  0.00	(YBR176W)	
r_0067	(1) s_0059 -> (1) s_0470 + (1) s_0174	irreversible	NA	  0.00	1000.00	  0.00	((YDL080C) or (YDR380W) or (YGR087C) or (YLR044C) or (YLR134W))	
r_0068	(1) s_1243 + (1) s_0267 -> (1) s_1207 + (1) s_0330	irreversible	NA	  0.00	1000.00	  0.00	(YDR127W)	
r_0069	(1) s_0272 -> (1) s_0369 + (1) s_0701	irreversible	NA	  0.00	1000.00	  0.00		
r_0070	(1) s_0500 + (1) s_0907 -> (1) s_0899 + (1) s_0275	irreversible	NA	  0.00	1000.00	  0.00	(YNR033W)	
r_0071	(1) s_0316 -> (1) s_1207 + (1) s_0276 + (1) s_0745	irreversible	NA	  0.00	1000.00	  0.00		
r_0072	(1) s_0275 -> (1) s_1277 + (1) s_0277	irreversible	NA	  0.00	1000.00	  0.00	(YMR289W)	
r_0073	(1) s_0185 + (1) s_0701 -> (1) s_0899 + (1) s_1341	irreversible	NA	  0.00	1000.00	  0.00	(YGR019W)	
r_0074	(1) s_0270 -> (1) s_1207 + (1) s_0291	irreversible	NA	  0.00	1000.00	  0.00	(YCR053W)	
r_0075	(1) s_0296 -> (1) s_0517 + (1) s_0293	irreversible	NA	  0.00	1000.00	  0.00		
r_0076	(1) s_1084 + (1) s_0517 + (1) s_0284 -> (1) s_1089 + (1) s_0383 + (1) s_0296	irreversible	NA	  0.00	1000.00	  0.00		
r_0077	(1) s_0208 -> (1) s_1378	irreversible	NA	  0.00	1000.00	  0.00		
r_0078	(1) s_0297 -> (1) s_0470 + (1) s_0240	irreversible	NA	  0.00	1000.00	  0.00	((YDL080C) or (YDR380W))	
r_0079	(1) s_0285 <-> (1) s_1207 + (1) s_1026	reversible	NA	-1000.00	1000.00	  0.00	((YLR410W) or (YOR163W))	
r_0080	(1) s_1207 + (1) s_0285 <-> (1) s_0269	reversible	NA	-1000.00	1000.00	  0.00	(YDR017C)	
r_0081	(1) s_1207 + (1) s_0305 -> (1) s_0390 + (1) s_1299	irreversible	NA	  0.00	1000.00	  0.00	(YLR017W)	
r_0082	(1) s_0434 -> (1) s_1207 + (1) s_0393	irreversible	NA	  0.00	1000.00	  0.00		
r_0083	(1) s_0511 -> (1) s_1207 + (1) s_0525	irreversible	NA	  0.00	1000.00	  0.00	(YGL224C)	
r_0084	(1) s_0564 -> (1) s_1207 + (1) s_0134	irreversible	NA	  0.00	1000.00	  0.00		
r_0085	(1) s_0569 -> (1) s_1207 + (1) s_0136	irreversible	NA	  0.00	1000.00	  0.00		
r_0086	(1) s_0593 -> (1) s_1207 + (1) s_0138	irreversible	NA	  0.00	1000.00	  0.00		
r_0087	(1) s_0619 -> (1) s_1207 + (1) s_1373	irreversible	NA	  0.00	1000.00	  0.00		
r_0088	(1) s_0624 -> (1) s_1207 + (1) s_0142	irreversible	NA	  0.00	1000.00	  0.00		
r_0089	(1) s_0752 -> (1) s_1207 + (1) s_0760	irreversible	NA	  0.00	1000.00	  0.00		
r_0090	(1) s_0816 -> (1) s_1207 + (1) s_0822	irreversible	NA	  0.00	1000.00	  0.00	(YOR155C)	
r_0091	(1) s_1417 -> (1) s_1207 + (1) s_1427	irreversible	NA	  0.00	1000.00	  0.00	(YGL224C)	
r_0092	(1) s_0306 -> (1) s_1207 + (1) s_1443	irreversible	NA	  0.00	1000.00	  0.00		
r_0093	(1) s_1096 + (1) s_0307 -> (1) s_1091 + (1) s_0328	irreversible	NA	  0.00	1000.00	  0.00	(YGL125W)	
r_0094	(1) s_0742 + (1) s_1344 -> (1) s_0474 + (1) s_0517 + (1) s_0323	irreversible	NA	  0.00	1000.00	  0.00	(YDR232W)	
r_0095	(1) s_0324 -> (1) s_1207 + (1) s_1026	irreversible	NA	  0.00	1000.00	  0.00	(YOR163W)	
r_0096	(1) s_0446 + (1) s_1026 -> (1) s_0400 + (1) s_0324	irreversible	NA	  0.00	1000.00	  0.00	(YDR017C)	
r_0097	(1) s_0446 + (1) s_0326 -> (1) s_0400 + (1) s_1207 + (1) s_0015	irreversible	NA	  0.00	1000.00	  0.00	(YER183C)	
r_0098	(1) s_0449 + (1) s_0327 -> (1) s_1211 + (1) s_0016 + (1) s_0403	irreversible	NA	  0.00	1000.00	  0.00		
r_0099	(1) s_0446 + (1) s_0326 -> (1) s_0400 + (1) s_1207 + (1) s_0122	irreversible	NA	  0.00	1000.00	  0.00		
r_0100	(1) s_0329 + (1) s_0917 -> (1) s_0933 + (1) s_1362	irreversible	NA	  0.00	1000.00	  0.00	(YER091C)	
r_0101	(1) s_1300 -> (1) s_0314	irreversible	NA	  0.00	1000.00	  0.00		
r_0102	(1) s_1299 <-> (1) s_1300	reversible	NA	-1000.00	1000.00	  0.00		
r_0103	(1) s_1207 + (1) s_0324 <-> (1) s_0269	reversible	NA	-1000.00	1000.00	  0.00	(YLR410W)	
r_0104	(1) s_1207 + (1) s_0324 <-> (1) s_0312	reversible	NA	-1000.00	1000.00	  0.00	(YLR410W)	
r_0105	(1) s_0446 + (1) s_0539 -> (1) s_0400 + (1) s_0454	irreversible	NA	  0.00	1000.00	  0.00	((YIL107C) or (YOL136C))	
r_0106	(1) s_0342 -> (1) s_0347	irreversible	NA	  0.00	1000.00	  0.00	((YCR073W-A) or (YGR248W) or (YHR163W) or (YNR034W))	
r_0107	(1) s_0340 <-> (1) s_1207 + (1) s_1026	reversible	NA	-1000.00	1000.00	  0.00	((YLR410W) or (YOR163W))	
r_0108	(1) s_1207 + (1) s_0340 <-> (1) s_0312	reversible	NA	-1000.00	1000.00	  0.00	(YDR017C)	
r_0109	(1) s_0863 + (1) s_1249 <-> (1) s_0514 + (1) s_0470 + (1) s_0359	reversible	NA	-1000.00	1000.00	  0.00		
r_0110	(2) s_0366 -> (1) s_0023	irreversible	NA	  0.00	1000.00	  0.00	((YGR087C) or (YLR044C) or (YLR134W))	
r_0111	(1) s_1098 + (1) s_0150 -> (1) s_1094 + (1) s_0018	irreversible	NA	  0.00	1000.00	  0.00	(YLR355C)	
r_0112	(2) s_1279 -> (1) s_0474 + (1) s_0150	irreversible	NA	  0.00	1000.00	  0.00	((YCL009C) and (YMR108W))	
r_0113	(1) s_0380 <-> (1) s_0514 + (1) s_0378	reversible	NA	-1000.00	1000.00	  0.00	((YKL182W) and (YPL231W))	
r_0114	(1) s_0383 <-> (1) s_0517 + (1) s_0379	reversible	NA	-1000.00	1000.00	  0.00	((YBR026C) and (YER061C) and (YHR067W) and (YKL055C) and (YKL192C) and (YOR221C))	
r_0115	(1) s_0256 + (1) s_0519 -> (1) s_0385 + (1) s_1190	irreversible	NA	  0.00	1000.00	  0.00	(YIL160C)	
r_0116	(1) s_0249 + (1) s_0519 -> (1) s_0385 + (1) s_1358	irreversible	NA	  0.00	1000.00	  0.00	(YIL160C)	
r_0117	(1) s_0259 + (1) s_0519 -> (1) s_0385 + (1) s_1047	irreversible	NA	  0.00	1000.00	  0.00	(YIL160C)	
r_0118	(2) s_0380 -> (1) s_0514 + (1) s_0374	irreversible	NA	  0.00	1000.00	  0.00	(YPL028W)	
r_0119	(2) s_0383 -> (1) s_0517 + (1) s_0377	irreversible	NA	  0.00	1000.00	  0.00	(YPL028W)	
r_0120	(1) s_0263 + (1) s_0519 -> (1) s_0385 + (1) s_0980	irreversible	NA	  0.00	1000.00	  0.00	(YIL160C)	
r_0121	(1) s_0245 + (1) s_0519 -> (1) s_0385 + (1) s_1143	irreversible	NA	  0.00	1000.00	  0.00	(YIL160C)	
r_0122	(1) s_0253 + (1) s_0519 -> (1) s_0385 + (1) s_0585	irreversible	NA	  0.00	1000.00	  0.00	(YIL160C)	
r_0123	(1) s_0449 + (1) s_0383 + (1) s_0460 <-> (1) s_1211 + (1) s_0403 + (1) s_1008	reversible	NA	-1000.00	1000.00	  0.00	(YMR207C)	
r_0124	(1) s_0446 + (1) s_0380 + (1) s_0458 <-> (1) s_0400 + (1) s_1207 + (1) s_1005	reversible	NA	-1000.00	1000.00	  0.00	(YNR016C)	
r_0125	(1) s_0514 + (1) s_0369 <-> (1) s_0380	reversible	NA	-1000.00	1000.00	  0.00	(YBL015W)	
r_0126	(1) s_0383 -> (1) s_0517 + (1) s_0372	irreversible	NA	  0.00	1000.00	  0.00	(YBL015W)	
r_0127	(1) s_0446 + (1) s_0514 + (1) s_0369 -> (1) s_0380 + (1) s_0434 + (1) s_0605	irreversible	NA	  0.00	1000.00	  0.00	((YAL054C) or (YLR153C))	
r_0128	(1) s_0449 + (1) s_0517 + (1) s_0372 -> (1) s_0435 + (1) s_0383 + (1) s_0608	irreversible	NA	  0.00	1000.00	  0.00	(YAL054C)	
r_0129	(1) s_0373 + (1) s_0450 + (1) s_0518 <-> (1) s_0384 + (1) s_0436 + (1) s_0609	reversible	NA	-1000.00	1000.00	  0.00	(YLR153C)	
r_0130	(1) s_0449 + (1) s_1071 -> (1) s_0403 + (1) s_1070	irreversible	NA	  0.00	1000.00	  0.00	(YER069W)	
r_0132	(1) s_0179 <-> (1) s_0012	reversible	NA	-1000.00	1000.00	  0.00	(YPR002W)	
r_0133	(1) s_0901 + (1) s_0149 -> (1) s_0187 + (1) s_1051	irreversible	NA	  0.00	1000.00	  0.00	(YOL140W)	
r_0134	(1) s_0517 -> (1) s_0399 + (1) s_1193	irreversible	NA	  0.00	1000.00	  0.00	(YPL148C)	
r_0135	(1) s_0585 + (1) s_1164 -> (1) s_1385 + (1) s_0804	irreversible	NA	  0.00	1000.00	  0.00	(YGL205W)	
r_0136	(1) s_0980 + (1) s_1164 -> (1) s_1388 + (1) s_0804	irreversible	NA	  0.00	1000.00	  0.00	(YGL205W)	
r_0137	(1) s_1164 + (1) s_0781 -> (1) s_1391 + (1) s_0804	irreversible	NA	  0.00	1000.00	  0.00	(YGL205W)	
r_0138	(1) s_1190 + (1) s_1164 -> (1) s_0785 + (1) s_0804	irreversible	NA	  0.00	1000.00	  0.00	(YGL205W)	
r_0139	(1) s_1164 + (1) s_1337 -> (1) s_1394 + (1) s_0804	irreversible	NA	  0.00	1000.00	  0.00	(YGL205W)	
r_0140	(1) s_1047 + (1) s_1164 -> (1) s_1397 + (1) s_0804	irreversible	NA	  0.00	1000.00	  0.00	(YGL205W)	
r_0141	(1) s_0628 + (1) s_1148 <-> (1) s_0515 + (1) s_0630	reversible	NA	-1000.00	1000.00	  0.00	(YCR048W)	
r_0142	(1) s_1148 + (1) s_0637 <-> (1) s_0515 + (1) s_0645	reversible	NA	-1000.00	1000.00	  0.00	((YCR048W) or (YNR019W))	
r_0143	(1) s_1148 + (1) s_0671 <-> (1) s_0515 + (1) s_0677	reversible	NA	-1000.00	1000.00	  0.00	(YCR048W)	
r_0144	(1) s_1148 + (1) s_0964 <-> (1) s_0515 + (1) s_0966	reversible	NA	-1000.00	1000.00	  0.00	(YCR048W)	
r_0145	(1) s_1148 + (1) s_1449 <-> (1) s_0515 + (1) s_1459	reversible	NA	-1000.00	1000.00	  0.00	(YCR048W)	
r_0146	(1) s_0628 + (1) s_1184 <-> (1) s_0515 + (1) s_0631	reversible	NA	-1000.00	1000.00	  0.00	(YCR048W)	
r_0147	(1) s_0637 + (1) s_1184 <-> (1) s_0515 + (1) s_0646	reversible	NA	-1000.00	1000.00	  0.00	((YCR048W) or (YNR019W))	
r_0148	(1) s_0671 + (1) s_1184 <-> (1) s_0515 + (1) s_0678	reversible	NA	-1000.00	1000.00	  0.00	(YCR048W)	
r_0149	(1) s_0964 + (1) s_1184 <-> (1) s_0515 + (1) s_0967	reversible	NA	-1000.00	1000.00	  0.00	(YCR048W)	
r_0150	(1) s_1449 + (1) s_1184 <-> (1) s_0515 + (1) s_1460	reversible	NA	-1000.00	1000.00	  0.00	(YCR048W)	
r_0151	(1) s_2636 <-> (1) s_2635	reversible	NA	-1000.00	1000.00	  0.00	(YLR118C)	
r_0152	(1) s_0336 + (1) s_1188 <-> (1) s_0515 + (1) s_0337	reversible	NA	-1000.00	1000.00	  0.00	(YJL091C)	
r_0153	(1) s_0390 -> (1) s_0430 + (1) s_0808	irreversible	NA	  0.00	1000.00	  0.00	(YNL141W)	
r_0154	(1) s_0390 + (1) s_0331 -> (1) s_0434 + (1) s_0605	irreversible	NA	  0.00	1000.00	  0.00	(YML022W)	
r_0155	(1) s_0393 -> (1) s_0430 + (1) s_0822	irreversible	NA	  0.00	1000.00	  0.00	(YNL141W)	
r_0156	(1) s_0393 -> (1) s_0390 + (1) s_0555	irreversible	NA	  0.00	1000.00	  0.00	(YDR400W)	
r_0157	(1) s_0446 + (1) s_0393 -> (1) s_0400 + (1) s_0434	irreversible	NA	  0.00	1000.00	  0.00	(YJR105W)	
r_0158	(1) s_0434 -> (1) s_0430 + (1) s_0816	irreversible	NA	  0.00	1000.00	  0.00	(YML035C)	
r_0159	(1) s_1290 -> (1) s_0393 + (1) s_0917	irreversible	NA	  0.00	1000.00	  0.00	(YER043C)	
r_0160	(1) s_1293 -> (1) s_0470 + (1) s_1297	irreversible	NA	  0.00	1000.00	  0.00	(YOL052C)	
r_0161	(1) s_1293 + (1) s_0359 <-> (1) s_0348 + (1) s_1289	reversible	NA	-1000.00	1000.00	  0.00	(YNR058W)	
r_0162	(1) s_0446 -> (1) s_0197 + (1) s_0605	irreversible	NA	  0.00	1000.00	  0.00	(YJL005W)	
r_0163	(1) s_0446 + (1) s_0434 <-> (2) s_0400	reversible	NA	-1000.00	1000.00	  0.00	(YDR226W)	
r_0164	(1) s_0449 + (1) s_0435 <-> (2) s_0403	reversible	NA	-1000.00	1000.00	  0.00	(YER170W)	
r_0165	(1) s_0434 + (1) s_0755 <-> (1) s_0400 + (1) s_0706	reversible	NA	-1000.00	1000.00	  0.00	(YDR226W)	
r_0166	(1) s_0435 + (1) s_0756 <-> (1) s_0403 + (1) s_0708	reversible	NA	-1000.00	1000.00	  0.00	(YER170W)	
r_0167	(1) s_0434 + (1) s_0857 <-> (1) s_0400 + (1) s_0811	reversible	NA	-1000.00	1000.00	  0.00	(YDR226W)	
r_0168	(1) s_0435 + (1) s_0858 <-> (1) s_0403 + (1) s_0812	reversible	NA	-1000.00	1000.00	  0.00	(YER170W)	
r_0169	(1) s_0009 <-> (1) s_0317 + (1) s_0692	reversible	NA	-1000.00	1000.00	  0.00	(YLR359W)	
r_0170	(1) s_0816 + (1) s_0755 + (1) s_0881 -> (1) s_1207 + (1) s_0706 + (1) s_1053	irreversible	NA	  0.00	1000.00	  0.00	(YNL220W)	
r_0171	(1) s_1053 <-> (1) s_0434 + (1) s_0692	reversible	NA	-1000.00	1000.00	  0.00	(YLR359W)	
r_0172	(1) s_0446 + (1) s_0304 -> (1) s_0400 + (1) s_0206	irreversible	NA	  0.00	1000.00	  0.00	(YKL001C)	
r_0173	(1) s_0133 -> (1) s_0396	irreversible	NA	  0.00	1000.00	  0.00	(YGR247W)	
r_0174	(1) s_0863 + (1) s_0749 -> (1) s_1277 + (1) s_0740	irreversible	NA	  0.00	1000.00	  0.00	(YFL030W)	
r_0175	(1) s_0446 + (1) s_0863 -> (1) s_0434 + (1) s_0605 + (1) s_0409	irreversible	NA	  0.00	1000.00	  0.00	(YOR335C)	
r_0176	(1) s_0380 + (1) s_0171 -> (1) s_0514 + (1) s_0177	irreversible	NA	  0.00	1000.00	  0.00	((YGR177C) or (YOR377W))	
r_0177	(1) s_0380 + (1) s_0650 -> (1) s_0514 + (1) s_0655	irreversible	NA	  0.00	1000.00	  0.00	((YGR177C) or (YOR377W))	
r_0178	(1) s_0380 + (1) s_0836 -> (1) s_0514 + (1) s_0834	irreversible	NA	  0.00	1000.00	  0.00	((YGR177C) or (YOR377W))	
r_0179	(1) s_0380 + (1) s_0839 -> (1) s_0514 + (1) s_0842	irreversible	NA	  0.00	1000.00	  0.00	((YGR177C) or (YOR377W))	
r_0180	(1) s_0380 + (1) s_0190 -> (1) s_0514 + (1) s_1201	irreversible	NA	  0.00	1000.00	  0.00	((YGR177C) or (YOR377W))	
r_0181	(1) s_1082 + (1) s_0650 <-> (1) s_1087 + (1) s_0366	reversible	NA	-1000.00	1000.00	  0.00	((YBR145W) or (YDL168W) or (YGL256W) or (YMR303C) or (YOL086C))	
r_0182	(1) s_1096 + (1) s_0550 -> (1) s_1091 + (1) s_0732	irreversible	NA	  0.00	1000.00	  0.00	((YDR368W) or (YHR104W))	
r_0183	(1) s_1089 + (1) s_0368 -> (1) s_1084 + (1) s_0652	irreversible	NA	  0.00	1000.00	  0.00	(YMR083W)	
r_0184	(1) s_1087 + (1) s_0174 -> (1) s_1082 + (1) s_0171	irreversible	NA	  0.00	1000.00	  0.00	((YBR145W) or (YDL168W) or (YGL256W) or (YMR303C) or (YOL086C))	
r_0185	(1) s_1089 + (1) s_0176 -> (1) s_1084 + (1) s_0173	irreversible	NA	  0.00	1000.00	  0.00	(YMR083W)	
r_0186	(1) s_1096 + (1) s_0174 -> (1) s_1091 + (1) s_0171	irreversible	NA	  0.00	1000.00	  0.00	((YBR036C) or (YCR105W) or (YDR368W) or (YMR318C))	
r_0187	(1) s_1087 + (1) s_1203 -> (1) s_1082 + (1) s_0190	irreversible	NA	  0.00	1000.00	  0.00	((YBR145W) or (YDL168W) or (YGL256W) or (YMR303C) or (YOL086C))	
r_0188	(1) s_1089 + (1) s_1205 -> (1) s_1084 + (1) s_0192	irreversible	NA	  0.00	1000.00	  0.00	(YMR083W)	
r_0189	(1) s_1096 + (1) s_1203 -> (1) s_1091 + (1) s_0190	irreversible	NA	  0.00	1000.00	  0.00	((YBR036C) or (YCR105W) or (YMR318C))	
r_0190	(1) s_1082 + (1) s_0214 -> (1) s_1087 + (1) s_0453	irreversible	NA	  0.00	1000.00	  0.00	((YMR169C) or (YMR170C))	
r_0191	(1) s_1091 + (1) s_0366 -> (1) s_1096 + (1) s_0369	irreversible	NA	  0.00	1000.00	  0.00	(YPL061W)	
r_0192	(1) s_1084 + (1) s_0368 -> (1) s_1089 + (1) s_0372	irreversible	NA	  0.00	1000.00	  0.00	(YOR374W)	
r_0193	(1) s_1094 + (1) s_0368 -> (1) s_1098 + (1) s_0372	irreversible	NA	  0.00	1000.00	  0.00	((YER073W) or (YOR374W))	
r_0194	(1) s_1084 + (1) s_0819 -> (1) s_1089 + (1) s_0821	irreversible	NA	  0.00	1000.00	  0.00	(YOR374W)	
r_0195	(1) s_1091 + (1) s_0817 -> (1) s_1096 + (1) s_0820	irreversible	NA	  0.00	1000.00	  0.00	(YPL061W)	
r_0196	(1) s_1094 + (1) s_0819 -> (1) s_1098 + (1) s_0821	irreversible	NA	  0.00	1000.00	  0.00	((YER073W) or (YOR374W))	
r_0197	(1) s_1087 + (1) s_0240 -> (1) s_1082 + (1) s_0836	irreversible	NA	  0.00	1000.00	  0.00	((YBR145W) or (YDL168W) or (YGL256W) or (YMR303C) or (YOL086C))	
r_0198	(1) s_1089 + (1) s_0242 -> (1) s_1084 + (1) s_0838	irreversible	NA	  0.00	1000.00	  0.00	(YMR083W)	
r_0199	(1) s_1096 + (1) s_0240 -> (1) s_1091 + (1) s_0836	irreversible	NA	  0.00	1000.00	  0.00	((YBR036C) or (YCR105W) or (YMR318C))	
r_0200	(1) s_1087 + (1) s_0844 -> (1) s_1082 + (1) s_0839	irreversible	NA	  0.00	1000.00	  0.00	((YBR145W) or (YDL168W) or (YGL256W) or (YMR303C) or (YOL086C))	
r_0201	(1) s_1089 + (1) s_0846 -> (1) s_1084 + (1) s_0841	irreversible	NA	  0.00	1000.00	  0.00	(YMR083W)	
r_0202	(1) s_1096 + (1) s_0844 -> (1) s_1091 + (1) s_0839	irreversible	NA	  0.00	1000.00	  0.00	((YBR036C) or (YCR105W) or (YMR318C))	
r_0203	(1) s_1082 + (1) s_1203 -> (1) s_1087 + (1) s_1206	irreversible	NA	  0.00	1000.00	  0.00	((YMR169C) or (YMR170C))	
r_0204	(1) s_1087 + (1) s_0817 -> (1) s_1082 + (1) s_1404	irreversible	NA	  0.00	1000.00	  0.00	((YBR145W) or (YDL168W) or (YGL256W) or (YMR303C) or (YOL086C))	
r_0205	(1) s_1089 + (1) s_0819 -> (1) s_1084 + (1) s_1406	irreversible	NA	  0.00	1000.00	  0.00	(YMR083W)	
r_0206	(1) s_0353 -> (3) s_1207 + (1) s_0350	irreversible	NA	  0.00	1000.00	  0.00	(YDR481C)	
r_0207	(1) s_0412 <-> (1) s_1423 + (1) s_1426	reversible	NA	-1000.00	1000.00	  0.00	(YIR029W)	
r_0208	(1) s_0414 <-> (1) s_0412	reversible	NA	-1000.00	1000.00	  0.00	(YIR027C)	
r_0209	(1) s_1425 -> (2) s_0430 + (2) s_0470	irreversible	NA	  0.00	1000.00	  0.00	(YBR208C)	
r_0210	(1) s_0457 + (1) s_0711 -> (1) s_0424 + (1) s_0707	irreversible	NA	  0.00	1000.00	  0.00	((YBR205W) or (YDR483W) or (YJL139C) or (YKR061W) or (YOR099W))	
r_0211	(1) s_0416 -> (2) s_0545	irreversible	NA	  0.00	1000.00	  0.00	(YDR001C)	
r_0212	(1) s_0418 -> (2) s_0548	irreversible	NA	  0.00	1000.00	  0.00	(YPR026W)	
r_0213	(1) s_1415 + (1) s_0410 -> (1) s_1411 + (1) s_0419	irreversible	NA	  0.00	1000.00	  0.00	((YBR126C) and (YML100W) and (YMR261C))	
r_0214	(1) s_0546 + (1) s_0728 <-> (1) s_0726	reversible	NA	-1000.00	1000.00	  0.00	(YGR227W)	
